university,program,category,maximum_aggregate,minimum_aggregate,academic_year,website
University of Ghana,Bachelor of Science in Computer Science,Science,7,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Information Technology,Science,10,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Software Engineering,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Electrical Engineering,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Mechanical Engineering,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Civil Engineering,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Chemical Engineering,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Biomedical Engineering,Science,6,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Environmental Engineering,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Telecommunication Engineering,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Computer Engineering,Science,7,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Petroleum Engineering,Science,20,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Mining Engineering,Science,20,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Metallurgical Engineering,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Agricultural Engineering,Science,15,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Food Science and Technology,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Biochemistry,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Chemistry,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Physics,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Mathematics,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Statistics,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Actuarial Science,Science,11,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Medicine,Science,18,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Nursing,Science,15,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Pharmacy,Science,20,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Optometry,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Physiotherapy,Science,14,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Medical Laboratory Science,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Radiography,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Nutrition and Dietetics,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Public Health,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Agriculture,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Forestry,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Fisheries and Aquaculture,Science,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Environmental Science,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Geology,Science,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Architecture,Science,22,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Quantity Surveying,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Land Economy,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Urban Planning,Science,24,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Business Administration,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Accounting,Business,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Finance,Business,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Marketing,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Supply Chain Management,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Human Resource Management,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Entrepreneurship,Business,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Insurance,Business,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Banking and Finance,Business,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Tourism Management,Business,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Hospitality Management,Business,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Real Estate Management,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in International Business,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Project Management,Business,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Science in Logistics and Transport,Business,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Laws,Arts,7,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Economics,Arts,26,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Political Science,Arts,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Sociology,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Psychology,Arts,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Geography and Rural Development,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in History,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Language and Linguistics,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Communication Studies,Arts,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Journalism and Mass Communication,Arts,28,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Philosophy,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Religious Studies,Arts,32,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Fine Arts,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Music,Arts,32,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Theatre Arts,Arts,32,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in French,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in Social Work,Arts,30,,2026,www.ug.edu.gh
University of Ghana,Bachelor of Arts in International Relations,Arts,28,,2026,www.ug.edu.gh
